lat,lng,distrito,precio_usd,area_m2,dormitorios,banos,antiguedad_anios
-12.107652287979317,-76.96457318761462,Santiago de Surco,750,74,1,2,10
-12.1278267,-77.0205243,Miraflores,1500,120,3,2,10
-12.138852178623626,-77.02230204831847,Barranco,750,40,1,1,2
-12.1337285,-77.019601,Barranco,928,73,2,1,14
-12.084537,-76.9099023,La Molina,850,95,2,2,18
-12.050388,-77.0519143,Cercado de Lima,522,65,3,2,2
-12.1004022,-76.973029,Santiago de Surco,1200,140,2,2,10
-12.087418136797686,-77.02816873558197,Lince,571,50,1,1,19
-12.1188735,-77.0359687,Miraflores,1250,103,3,2,6
-12.1394891,-77.0231343,Barranco,750,48,1,1,2
-12.1188735,-77.0359687,Miraflores,1000,80,2,2,10
-12.0588072,-77.0929683,Bellavista,536,94,2,2,36
-12.1187169,-77.0180125,Miraflores,550,40,1,1,6
-12.0910245,-77.0510196,San Isidro,1202,93,3,2,9
-12.0928638,-77.05878129999996,Magdalena del Mar,750,60,2,2,2
-12.1213522,-77.0336978,Miraflores,1200,134,3,2,3
-12.101357,-76.9410302,La Molina,600,50,2,1,10
-12.17884443143092,-77.00978441271972,Chorrillos,841,220,3,3,14
-12.0932861,-77.0532679,San Isidro,1100,65,2,2,9
-12.1046438,-77.0263772,Miraflores,783,92,3,2,10
-12.1394792,-77.0221394,Barranco,667,42,1,1,4
-12.1288008,-77.0267267,Miraflores,1050,100,3,2,14
-12.1269388,-77.0242301,Miraflores,1035,82,2,2,4
-12.1269388,-77.0242301,Miraflores,1014,81,2,2,4
-12.137675641032883,-77.02127341834637,Barranco,700,40,1,1,4
-12.1353995,-77.027611,Miraflores,2500,167,3,3,20
-12.1186627,-77.0338471,Miraflores,1100,92,2,2,8
-12.119096,-77.0303078,Miraflores,667,72,1,1,15
-12.0896253,-77.0294774,San Isidro,551,45,1,1,3
-12.0766256,-77.0683867,Pueblo Libre,725,80,2,2,8
-12.0954257,-77.0366924,San Isidro,1030,81,1,1,3
-12.0949271,-77.0275671,San Isidro,830,45,1,1,9
-12.1224896,-77.03135019999999,Miraflores,1000,140,3,4,10
-12.1373223,-77.0223959,Barranco,645,42,1,1,5
-12.1798431,-77.0052306,Chorrillos,551,73,3,2,1
-12.1302499,-77.0212,Miraflores,850,60,2,2,10
-12.0853026,-77.0970354,San Miguel,522,41,1,1,10
-12.0998079,-77.0377714,San Isidro,2000,133,2,2,2
-12.0831733,-77.0449158,Jesus Maria,728,60,2,2,6
