latitud,longitud,distrito_oficial,dist_mar_km,cantidad_denuncias,count_1km_supermercados,count_1km_farmacias,count_1km_colegios,count_1km_hospitales,count_1km_bancos,count_1km_universidades,count_1km_parqueos,dist_nearest_m_supermercados,dist_nearest_m_farmacias,dist_nearest_m_colegios,dist_nearest_m_hospitales,dist_nearest_m_bancos,dist_nearest_m_universidades,dist_nearest_m_parqueos
-12.086112,-77.09494560000002,San Miguel,1.5813548725381266,1,14.0,54.0,48.0,9.0,24.0,6.0,8.0,156.4,31.2,123.3,512.6,72.7,443.0,115.4
-12.1312061,-77.0266479,Miraflores,0.3651329485440098,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.0769521,-77.048365,Jesus Maria,2.581270315760404,234,22.0,60.0,60.0,60.0,60.0,36.0,27.0,92.8,90.8,133.4,101.0,48.3,90.2,158.7
-12.0905583,-77.0283082,San Isidro,2.048090255342796,59,35.0,60.0,60.0,60.0,60.0,36.0,60.0,86.8,94.6,143.1,142.5,190.2,246.6,307.3
-12.0973725,-77.057561,Magdalena del Mar,1.4000988692950196,23,11.0,27.0,35.0,42.0,30.0,17.0,20.0,471.6,14.6,151.1,152.4,236.3,309.5,119.2
-12.1183604,-77.0120922,Miraflores,2.40114376695872,22,13.0,49.0,58.0,16.0,31.0,4.0,12.0,376.1,231.5,234.6,338.1,194.0,316.7,331.9
-12.1405444,-77.02380829999998,Barranco,1.256740599345351,60,11.0,30.0,58.0,10.0,26.0,8.0,23.0,160.3,132.1,75.8,192.7,74.3,184.5,119.9
-12.1243378,-76.9806444,Santiago de Surco,5.416506560943741,6,6.0,17.0,36.0,12.0,16.0,11.0,4.0,225.8,462.2,202.9,172.6,289.8,35.8,928.8
-12.0922754,-77.0352289,San Isidro,1.5070044561343634,36,18.0,51.0,42.0,46.0,55.0,28.0,60.0,231.2,108.2,118.5,355.8,130.9,266.7,24.5
-12.0989504,-76.9785326,Santiago de Surco,6.63396225062807,6,5.0,10.0,28.0,27.0,14.0,7.0,27.0,450.6,450.6,64.9,197.4,268.3,95.4,77.8
-12.1309871,-77.0250221,Miraflores,0.5411589222178407,17,19.0,57.0,56.0,58.0,60.0,21.0,60.0,265.9,254.0,94.9,125.7,297.0,213.5,194.0
-12.1378906,-77.0222333,Barranco,1.1401497630102075,60,11.0,30.0,58.0,10.0,26.0,8.0,23.0,160.3,132.1,75.8,192.7,74.3,184.5,119.9
-12.0948733,-77.05114479999997,San Isidro,1.6541494468661715,23,11.0,27.0,35.0,42.0,30.0,17.0,20.0,471.6,14.6,151.1,152.4,236.3,309.5,119.2
-12.1021759,-77.0578855,San Isidro,1.744248720594855,5,8.0,13.0,16.0,16.0,14.0,2.0,12.0,67.9,463.4,218.5,102.0,466.4,383.4,164.1
-12.1325177,-77.0226925,Miraflores,0.8121375378973166,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.0844706,-77.0124258,La Victoria,3.768199444755728,16,15.0,44.0,33.0,60.0,29.0,7.0,42.0,290.5,44.0,261.8,184.2,214.7,357.3,229.1
-12.1504133,-77.0203154,Barranco,0.4941875607440807,38,10.0,38.0,52.0,10.0,33.0,6.0,26.0,447.4,76.2,21.7,347.0,74.1,340.4,243.8
-12.112092044705747,-77.0479745217041,Miraflores,1.1719962798224686,7,6.0,9.0,13.0,18.0,6.0,3.0,12.0,424.9,563.1,250.5,323.0,432.2,448.6,245.9
-12.0826106,-77.10359570000003,San Miguel,2.1698303842758144,1,7.0,27.0,31.0,1.0,18.0,5.0,8.0,107.3,106.9,254.3,889.9,105.2,257.0,36.8
-12.1080603,-77.0379086,Miraflores,0.4092667358311814,34,10.0,24.0,30.0,24.0,35.0,11.0,48.0,157.1,178.0,451.1,196.0,122.5,77.8,66.9
-12.11432466994561,-77.04677257345503,Miraflores,1.271705523465483,14,15.0,31.0,33.0,46.0,34.0,9.0,35.0,350.3,271.3,106.9,287.4,569.2,259.5,234.5
-12.098780656577636,-76.97792349262085,Santiago de Surco,6.699986675336968,6,5.0,10.0,28.0,27.0,14.0,7.0,27.0,450.6,450.6,64.9,197.4,268.3,95.4,77.8
-12.0735051,-77.0523784,Pueblo Libre,2.499846668150707,234,22.0,60.0,60.0,60.0,60.0,36.0,27.0,92.8,90.8,133.4,101.0,48.3,90.2,158.7
-12.118309,-77.0166757,Miraflores,2.0222995985658105,42,18.0,60.0,52.0,35.0,54.0,9.0,40.0,344.7,198.5,203.2,95.3,176.9,661.5,335.7
-12.0943726,-77.07782120000002,San Miguel,1.173318417688586,0,21.0,57.0,60.0,10.0,37.0,4.0,14.0,281.1,281.4,64.6,84.8,309.8,149.1,253.3
-12.0934805,-77.0335641,San Isidro,1.4595785349821564,36,18.0,51.0,42.0,46.0,55.0,28.0,60.0,231.2,108.2,118.5,355.8,130.9,266.7,24.5
-12.0782247,-77.0356511,Cercado de Lima,3.0145921242788205,63,31.0,60.0,60.0,60.0,60.0,39.0,57.0,96.3,36.4,46.9,48.4,90.4,89.1,119.3
-12.0758581,-76.9943951,San Luis,5.92347904084036,52,18.0,60.0,53.0,25.0,36.0,10.0,9.0,225.9,159.1,182.3,198.2,180.7,180.4,59.4
-12.0928217,-77.0492319,San Isidro,1.685601834932514,77,21.0,46.0,56.0,58.0,58.0,24.0,40.0,317.5,211.6,64.4,390.8,198.6,170.8,181.8
-12.1125367,-77.0281443,Miraflores,1.5374465148637235,61,19.0,60.0,47.0,60.0,59.0,12.0,50.0,230.5,18.8,148.7,222.2,114.2,364.7,193.4
-12.123849,-77.0329219,Miraflores,0.8562549889558444,34,15.0,34.0,33.0,44.0,60.0,23.0,60.0,149.7,136.2,264.4,136.0,183.4,80.5,154.8
-12.0957985,-76.9894694,San Borja,5.588370006637684,0,9.0,11.0,31.0,23.0,19.0,10.0,9.0,367.1,739.0,18.0,438.0,495.9,672.2,385.5
-12.1319952,-76.9922222,Santiago de Surco,4.108379684067254,20,14.0,37.0,56.0,30.0,30.0,6.0,11.0,209.2,266.6,206.6,116.9,351.7,204.9,351.9
-12.062008291412443,-77.09218835467836,Bellavista,0.4518178451867783,0,7.0,38.0,21.0,15.0,26.0,28.0,8.0,540.0,521.4,67.3,156.3,236.7,528.9,409.9
