id,title,price_usd,precio_m2,m2,lat,lng,address,distrito,dormitorios,banos,cocheras,antiguedad_anios,construction_state,property_type,url
189675415,DEPARTAMENTO en VTA en SAN ISIDRO  en la mejor zona,646228.19,2978.0,217,-12.0971829,-77.032585,,,3,2,2,0,Buen estado,Departamento,/departamento-en-vta-en-san-isidro-en-la-mejor-zona/189675415
189675581,ATIVA,96113.25,2402.8,40,-12.0983046,-76.9716907,,,1,1,0,0,En construcción,Departamento,/ativa/189675581
189527263,Amplio Departamento en Jesús María,188532.09,1885.3,100,-12.0750295,-77.0435289,,,3,2,1,0,Buen estado,Departamento,/amplio-departamento-en-jesus-maria/189527263
189442913,Espectacular Triplex con Excelentes Acabados en San Borja,350000.0,1776.6,197,-12.1071563,-77.0104418,Av. Galvez Barrenechea,,3,3,2,0,Excelente estado,Departamento,/espectacular-triplex-con-excelentes-acabados-en-san-borja/189442913
189577612,Lindo Duplex frente a Parque en Surco,316610.76,1376.6,230,-12.1421331,-76.9990356,,,2,3,1,0,Buen estado,Departamento,/lindo-duplex-frente-a-parque-en-surco/189577612
187113752,VENDO LINDO DEPARTAMENTO EN PROYECTO,580650.0,2450.0,237,-12.1158391,-76.9818284,,,3,3,2,0,Buen estado,Departamento,/vendo-lindo-departamento-en-proyecto/187113752
187140560,Residencial Eugenio Garzón,150653.85,2035.9,74,-12.0753858,-77.0521314,,,3,2,0,0,En construcción,Departamento,/residencial-eugenio-garzon/187140560
187082180,Departamento en Venta en Miraflores,179075.0,2984.6,60,-12.126032,-77.025981,,,1,1,0,0,Buen estado,Departamento,/departamento-en-venta-en-miraflores/187082180
187081651,Departamento en Venta en Magdalena,197228.0,2054.5,96,-12.0969248,-77.0615382,,,3,2,1,0,Buen estado,Departamento,/departamento-en-venta-en-magdalena/187081651
188625245,Remato Departamento Condominio - Paola,58348.19,941.1,62,-12.1986726,-76.9667896,,,3,1,0,0,Buen estado,Departamento,/remato-departamento-condominio-paola/188625245
188635270,Edificio Carnaval,264636.31,2646.4,100,-12.1054616,-77.0297556,,,2,2,1,0,En construcción,Departamento,/edificio-carnaval/188635270
188635304,Edificio Carnaval,277362.96,2773.6,100,-12.1054616,-77.0297556,,,2,2,1,0,En construcción,Departamento,/edificio-carnaval/188635304
188635274,Edificio Carnaval,190589.82,2802.8,68,-12.1054616,-77.0297556,,,1,2,1,0,En construcción,Departamento,/edificio-carnaval/188635274
188068205,Departamento en Venta en Miraflores,360000.0,2727.3,132,-12.1132106,-77.038029,,,2,2,2,0,A estrenar,Departamento,/departamento-en-venta-en-miraflores/188068205
188193111,"PARTICULAR DEPARTAMETO 86 M2 2 DORMITORIOS 2 BAÑOS (197,800 USD)",219226.17,2549.1,86,-12.1118697,-76.9837429,,,2,2,1,0,A estrenar,Departamento,/particular-departameto-86-m2-2-dormitorios-2-baños-197800-usd/188193111
188434460,"Vista al mar! Oportunidad , fte al malecon Armendariz",199556.67,2494.5,80,-12.1344578453447,-77.0230927622192,,,2,3,1,0,Buen estado,Departamento,/vista-al-mar-oportunidad-fte-al-malecon-armendariz/188434460
188305389,"Exclusivo Proyecto En: Av 28 de Julio 360, Miraflores!",222983.91,2973.1,75,-12.1263529,-77.0312145,,,2,2,0,0,En construcción,Departamento,/exclusivo-proyecto-en-av-28-de-julio-360-miraflores/188305389
188524219,RESIDENCIAL PATIÑO,109815.98,1444.9,76,-12.074129,-76.9934647,,,2,2,0,0,En construcción,Departamento,/residencial-patiño/188524219
187266031,DUPLEX FRENTE AL CENTRO PROMOTOR DE TENIS Y VISTA AL MAR,270000.0,2812.5,96,-12.1223097572288,-77.0404137217123,,,2,1,1,0,Buen estado,Departamento,/duplex-frente-al-centro-promotor-de-tenis-y-vista-al-mar/187266031
187253697,DUPLEX DE ESTRENO VENTA EN MAGDALENA,207900.0,2100.0,99,-12.0904353,-77.069999,,,2,2,0,0,A estrenar,Departamento,/duplex-de-estreno-venta-en-magdalena/187253697
186701038,Venta de Departamento en Miraflores,584068.31,2920.3,200,-12.1323755,-77.0266586,,,3,3,2,0,Buen estado,Departamento,/venta-de-departamento-en-miraflores/186701038
187193350,A POCOS METROS DE LA AV. ANGAMOS OESTE Y LA AV. SANTA CRUZ,541500.0,2991.7,181,-12.1131358937835,-77.0402561634918,,,3,2,3,0,A estrenar,Departamento,/a-pocos-metros-de-la-av-angamos-oeste-y-la-av-santa-cruz/187193350
187221648,SE VENDE PENTHOUSE EN URB. AURORA - MIRAFLORES,795000.0,3271.6,243,-12.1242164,-77.0130265,,,3,3,2,0,Buen estado,Departamento,/se-vende-penthouse-en-urb-aurora-miraflores/187221648
187254290,TOSCANINI. FRENTE A PARQUE. CERCA A LA MUNICIPALIDAD DE SAN BORJA,200100.0,2198.9,91,-12.1073676073856,-76.9967970288361,,,2,2,1,0,A estrenar,Departamento,/toscanini-frente-a-parque-cerca-a-la-municipalidad-de-san-borja/187254290
187208710,BONITO DEPARTAMENTO A UNAS CDRAS DEL PARQUE KENEDY MIRAFLORES,263600.0,3295.0,80,-12.111062,-77.0315913,,,2,2,1,0,Buen estado,Departamento,/bonito-departamento-a-unas-cdras-del-parque-kenedy-miraflores/187208710
187185800,Departamento en Venta en Miraflores,166230.0,2770.5,60,-12.126032,-77.025981,,,1,1,0,0,Buen estado,Departamento,/departamento-en-venta-en-miraflores/187185800
187193983,"Pre Venta Flat en Pietro Torrigiano San Borja $268,000",268000.0,2000.0,134,-12.0972833,-76.9951041,,,3,2,1,0,Buen estado,Departamento,/pre-venta-flat-en-pietro-torrigiano-san-borja-268000/187193983
187204707,VENDO LINDO DEPARTAMENTO EN PROYECTO EN SAN ISIDRO,194603.0,2820.3,69,-12.0963327,-77.0280721,,,2,2,0,0,A estrenar,Departamento,/vendo-lindo-departamento-en-proyecto-en-san-isidro/187204707
187215754,Se vende excelente duplex en la mejor zona de Miraflores,438000.0,2670.7,164,-12.1306573221254,-77.0289236375656,,,3,2,2,0,Buen estado,Departamento,/se-vende-excelente-duplex-en-la-mejor-zona-de-miraflores/187215754
187255299,"LINDO DPTO. EN VENTA , CONSTRUCTORA A1",96934.23,1615.6,60,-12.0724036,-77.0362388,,,2,2,0,0,A estrenar,Departamento,/lindo-dpto-en-venta-constructora-a1/187255299
187255301,"LINDO DPTO. EN VENTA , CONSTRUCTORA A1",97549.96,1625.8,60,-12.0724036,-77.0362388,,,2,2,0,0,A estrenar,Departamento,/lindo-dpto-en-venta-constructora-a1/187255301
187163982,VENDO LINDO DEPARTAMENTO EN PROYECTO  EN MIRAFLORES,470000.0,2764.7,170,-12.1337199,-77.0253024,,,3,2,2,0,A estrenar,Departamento,/vendo-lindo-departamento-en-proyecto-en-miraflores/187163982
